,Richmond,El_Cerrito_Norte,El_Cerrito_Plaza,North_Berkeley,Berkeley,Ashby,MacArthur,19_TH,12_TH,Lake_Merritt,Fruitvale,Coliseum,San_Leandro,Bayfair,Hayward,South_Hayward,Union_City,Fremont,Concord,Pleasant_Hill,Walnut_Creek,Lafayette,Orinda,Rockridge,West_Oakland,Embarcadero,Montgomery_Stree,Powell_Street,Civic_Center,16_th,24_TH,Glen_Park,Balboa_Park,Daly_City,Colma,Castro_Valley,Dublin,North_Concord,Pittsburg,South_SF,San_Bruno,SFO,Millbrae,West_Dublin,Oakland_Air,Warm_Springs,Pittsburgh_Center,Antioch
Embarcadero,542.9473684,1105.315789,757.3684211,778.7368421,1129.842105,957.0526316,1381.894737,1895,1731.526316,1249.105263,1220.052632,751.7368421,1024.736842,884.2631579,632.7894737,552.3684211,1101,1624.894737,1113.684211,2221.894737,1739.894737,1074.157895,990.1052632,1270.052632,2400.842105,183.8947368,136.4210526,525.4736842,642.0526316,1130.789474,1831.052632,1321.105263,1664.052632,1436.263158,901.5789474,717.9473684,2627.631579,477,681.8421053,681.4210526,673.1578947,493.3684211,1168.578947,1022.736842,168.7894737,828.1578947,153.1052632,477.3684211
Montgomery,517,1027.894737,684.8947368,703,870,831.4210526,1201.473684,1566.368421,1215.157895,1134.578947,1083.736842,609.7894737,924.6315789,801.6315789,609.9473684,453.4736842,866.0526316,1257.105263,984.1052632,1854.631579,1377,788.8421053,723.3684211,1092.210526,1811.473684,146.8947368,172.5789474,187.8421053,639,1458.526316,2464.684211,1727.736842,2812.578947,2118.473684,1188.631579,598.3157895,1982.263158,415.1578947,646.4210526,872.6842105,819.4210526,512.9473684,1635.736842,783.2105263,120.1578947,781.6315789,127.5263158,401.6315789
Powell,399.2631579,670.5789474,346.2631579,356.8421053,597.4210526,399.6842105,695.3157895,847.9473684,885.7368421,642.4210526,762.1052632,506.5789474,509.7894737,464.3684211,313,228.2105263,315.3684211,410.8947368,425.4210526,518.8947368,429.2631579,209.2105263,197.1052632,439.7894737,1040,767.2105263,310.9473684,131.9473684,348.6315789,1198.684211,1615.842105,1100.631579,2109.421053,1317.421053,562.7894737,248.4736842,688.7894737,215.1578947,394.3684211,445.7368421,439.9473684,1254.736842,726.3684211,302.4736842,128.6315789,275.2631579,96.94736842,247.3684211
Civic_Center,339.3684211,628.7368421,387.9473684,408.1578947,610,492.8421053,769.5789474,919.2631579,767.6315789,599.2631579,779.2631579,400.5263158,467.4210526,423.7368421,296.9473684,236.2105263,308.3157895,340.1052632,406.7894737,559.6315789,406.6842105,236.5789474,201.5263158,533.6842105,940.2631579,660.3157895,645.4210526,336.4210526,84.73684211,566.5789474,966.5789474,772.3157895,1448.842105,867.3684211,542,236.5263158,614.7368421,204.6842105,327.9473684,424.5789474,386.3157895,501.8421053,644.9473684,249.3157895,74.63157895,241.8421053,75.89473684,228.1052632
12_TH,233.4210526,573.0526316,330.0526316,259.4736842,448.5789474,248.4210526,219.3684211,45.42105263,38.63157895,36.52631579,210.3157895,290.1052632,354.6315789,339.7368421,310.1578947,184.7894737,256.2105263,324.3157895,327.5789474,452.1578947,304.5263158,149.6315789,126.4736842,159.7368421,98.52631579,1362.684211,1363.105263,983,956.8421053,351.6842105,313.2631579,197.5789474,219.8421053,235.2105263,132.8421053,128.5789474,270.3684211,140.9473684,229.7368421,94.36842105,90.94736842,151.4210526,161.6842105,128.8947368,57.42105263,139.1052632,57.63157895,180.8947368
19_TH,195.1052632,478.2105263,308.6842105,280.1578947,518.6315789,254.8947368,189.8947368,32.89473684,48.21052632,43.89473684,192.9473684,201.2105263,247.1052632,237.0526316,217.1578947,151.1578947,230.3684211,328.9473684,310.7368421,413.4210526,337.4736842,176.8947368,127.5263158,160.3157895,64,1467.631579,1612.684211,967.8421053,1067,480,341.4210526,171.4210526,157.7894737,157.5263158,75.05263158,73.63157895,232.9473684,140.4736842,184.6842105,71.84210526,73.57894737,102.0526316,131.7368421,125.3157895,41.94736842,140.6842105,58.68421053,135.8947368
16_TH,165.7368421,225.3684211,123.5789474,148.1052632,307.9473684,218.7368421,359.6842105,453.7894737,308.0526316,244.4736842,298.3157895,161.7894737,143.7368421,146.2105263,98.42105263,75.63157895,76.78947368,91.84210526,116.7368421,153.4736842,90,48.57894737,53.63157895,182.6315789,368.0526316,1167.684211,1531.947368,1417.210526,631.5789474,36.68421053,187.8421053,324.5263158,654.6315789,325,159.8947368,68.47368421,188.7368421,56,121.8421053,133.3157895,140.1052632,216.2105263,252.0526316,70.68421053,26.05263158,63.52631579,28.10526316,82.52631579
Berkeley,496.1052632,972.7368421,751.1578947,214.8947368,53.94736842,354.7368421,357.8947368,576.5263158,536.5789474,288.6842105,300.3684211,212.5789474,193.4210526,147.8947368,147,90.26315789,175.1052632,207.9473684,112.3157895,175.9473684,137.4736842,73.15789474,48.42105263,42.78947368,80.68421053,1065.421053,1062.842105,752.8421053,802.3684211,336.3684211,287.2105263,155.0526316,139.6842105,147.3157895,37.42105263,64.47368421,120.7894737,39.21052632,74.21052632,36.94736842,48.36842105,141,162.3684211,57.21052632,67.10526316,111.7368421,28.47368421,57.47368421
24_TH,161.7368421,178.5263158,64.78947368,91.78947368,257.3684211,126.6315789,216.3157895,318.8947368,274.3684211,150.2105263,221.2105263,137.6842105,95.73684211,82.57894737,59.10526316,45.10526316,37.42105263,32.68421053,75.05263158,76.10526316,61.05263158,36.21052632,32.78947368,108.7894737,227.4210526,1606.315789,2102.578947,1920.315789,1033.526316,207.7368421,52.10526316,276.1052632,650.2631579,279.2105263,130.8947368,30.31578947,74.63157895,33.84210526,95.36842105,98.31578947,120.9473684,185.4210526,229.7368421,37.52631579,26.73684211,26.26315789,22.52631579,59.52631579
Balboa_Park,71.26315789,102.7368421,41.57894737,41.36842105,113.0526316,44.21052632,88.15789474,135.1052632,179.7368421,88.36842105,96.57894737,78.52631579,81.84210526,45.78947368,36.36842105,26.42105263,22,25.47368421,55.94736842,44.78947368,45.73684211,11.26315789,14.89473684,56.21052632,101,1427.894737,1879,2477.052632,1313.789474,584.1052632,619.8421053,141.2105263,50.05263158,119,87.47368421,27,70.84210526,17.52631579,52.84210526,74.26315789,116.9473684,113.1052632,163.6842105,23.84210526,10.15789474,14.84210526,13.05263158,43.89473684
