geoid,geoid20,year,denom_workingage_civ_noninst_pop,laborforce_count,laborforce_pct,denom_labor_force,unemployed_count,unemployed_pct
1400000US06037101110,101110,2021,3449,2067,59.930416,2067,99,4.7895503
1400000US06037101122,101122,2021,3634,2300,63.291138,2300,256,11.130435
1400000US06037101220,101220,2021,2984,2042,68.431633,2042,264,12.928501
1400000US06037101221,101221,2021,3165,1730,54.660347,1730,72,4.1618495
1400000US06037101222,101222,2021,2192,1376,62.773724,1376,168,12.209302
1400000US06037101300,101300,2021,3430,1967,57.346939,1967,137,6.964921
1400000US06037101400,101400,2021,2941,1704,57.939476,1704,125,7.335681
1400000US06037102103,102103,2021,1333,816,61.215305,816,44,5.3921571
1400000US06037102104,102104,2021,3361,1920,57.125854,1920,146,7.6041665
1400000US06037102105,102105,2021,1347,951,70.601334,951,36,3.7854888
1400000US06037102107,102107,2021,3409,1924,56.438839,1924,177,9.199584
1400000US06037103101,103101,2021,2121,1561,73.597359,1561,138,8.8404865
1400000US06037103102,103102,2021,4086,2601,63.656387,2601,329,12.648981
1400000US06037103201,103201,2021,3631,2360,64.995872,2360,244,10.338983
1400000US06037103202,103202,2021,1763,1120,63.528076,1120,14,1.25
1400000US06037103300,103300,2021,3009,1786,59.355267,1786,118,6.6069427
1400000US06037103401,103401,2021,2239,1451,64.805717,1451,123,8.4769125
1400000US06037103402,103402,2021,3257,2285,70.156586,2285,83,3.632385
1400000US06037104103,104103,2021,3522,2053,58.290745,2053,131,6.3809061
1400000US06037104105,104105,2021,4470,2576,57.628635,2576,269,10.442547
1400000US06037104108,104108,2021,3871,2596,67.062775,2596,221,8.5130968
1400000US06037104124,104124,2021,3231,1884,58.31012,1884,263,13.959661
1400000US06037104201,104201,2021,3712,2384,64.224136,2384,138,5.7885904
1400000US06037104203,104203,2021,3870,2478,64.031006,2478,178,7.1832123
1400000US06037104204,104204,2021,2954,1556,52.674339,1556,83,5.3341904
1400000US06037104310,104310,2021,3824,2651,69.325317,2651,173,6.5258393
1400000US06037104321,104321,2021,2622,1408,53.699467,1408,127,9.019886
1400000US06037104322,104322,2021,1586,920,58.007565,920,0,0
1400000US06037104401,104401,2021,2287,1327,58.023613,1327,58,4.3707609
1400000US06037104403,104403,2021,2232,1472,65.949821,1472,128,8.695652
1400000US06037104404,104404,2021,2661,1646,61.856445,1646,163,9.9027948
1400000US06037104500,104500,2021,2231,1559,69.878975,1559,88,5.6446438
1400000US06037104610,104610,2021,2484,1506,60.628017,1506,22,1.4608234
1400000US06037104620,104620,2021,2778,1764,63.49892,1764,112,6.3492064
1400000US06037104701,104701,2021,2797,1641,58.670002,1641,138,8.4095068
1400000US06037104703,104703,2021,1696,1029,60.672169,1029,27,2.6239066
1400000US06037104704,104704,2021,3180,1910,60.062893,1910,59,3.0890052
1400000US06037104821,104821,2021,2672,1564,58.532932,1564,107,6.8414321
1400000US06037104822,104822,2021,2045,1284,62.787285,1284,117,9.1121492
1400000US06037104823,104823,2021,2358,1406,59.626801,1406,62,4.4096727
1400000US06037104824,104824,2021,2109,1415,67.093407,1415,32,2.2614841
1400000US06037106010,106010,2021,2660,1816,68.270676,1816,95,5.2312775
1400000US06037106020,106020,2021,4237,2680,63.2523,2680,302,11.268657
1400000US06037106111,106111,2021,3824,2421,63.310669,2421,164,6.7740602
1400000US06037106112,106112,2021,4240,2834,66.839622,2834,101,3.5638673
1400000US06037106113,106113,2021,3096,1948,62.919895,1948,147,7.5462012
1400000US06037106114,106114,2021,4826,3214,66.597595,3214,189,5.8805227
1400000US06037106403,106403,2021,2699,1707,63.245647,1707,52,3.0462799
1400000US06037106405,106405,2021,3365,2045,60.772659,2045,152,7.4327626
1400000US06037106406,106406,2021,5113,3595,70.310974,3595,93,2.5869262
1400000US06037106407,106407,2021,1967,1125,57.193695,1125,92,8.1777782
1400000US06037106408,106408,2021,2473,1732,70.036392,1732,70,4.0415707
1400000US06037106510,106510,2021,4394,2968,67.546654,2968,246,8.2884092
1400000US06037106520,106520,2021,4761,2992,62.843941,2992,142,4.7459893
1400000US06037106603,106603,2021,2978,1839,61.752853,1839,72,3.9151714
1400000US06037106604,106604,2021,3233,2060,63.717911,2060,33,1.6019417
